Date,close,high,low,open,volume,rsi,ema_20,ema_50,atr,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2016-03-15,14.555999755859375,14.597999572753906,14.100000381469727,14.284667015075684,47707500,70.7213764763467,13.106544522410342,12.685773296356201,0.6520448010993412,0.5107709656850705,0.27271700595479165,0.23805395973027887
2016-03-16,14.795332908630371,14.838666915893555,14.468000411987305,14.533332824707031,52750500,72.4145376080537,13.267381511574154,12.768501124288521,0.6319463512998347,0.5744808318603312,0.26914149770404183,0.30533933415628933
2016-03-17,15.092000007629395,15.233332633972168,14.666666984558105,14.764666557312012,56743500,74.39143481308326,13.441154701674654,12.859618727556791,0.6272834440222795,0.6415149305575607,0.2689404771210171,0.3725744534365436
2016-03-18,15.515999794006348,15.631999969482422,15.204000473022461,15.273332595825195,70677000,76.9355029799854,13.638758996182434,12.963790534084225,0.6210489095816187,0.7205471568768278,0.2783781627522274,0.4421689941246004
2016-03-21,15.887999534606934,15.991999626159668,15.666666984558105,15.689332962036133,79617000,78.91468307002523,13.852972380794291,13.078465396849822,0.6106882611938832,0.8039308216834034,0.2894094620470423,0.514521359636361
2016-03-22,15.616000175476074,15.932666778564453,15.503999710083008,15.814000129699707,64740000,73.91994317702269,14.020879789811604,13.177976564639087,0.5976867474287091,0.8384003444167654,0.2591031878243235,0.5792971565924419
2016-03-23,14.838666915893555,15.648667335510254,14.802000045776367,15.4913330078125,74232000,61.86827605633492,14.098764278009885,13.243101676452987,0.6154710718790789,0.7938424700740221,0.17163625078526423,0.6222062192887579
2016-03-24,15.183333396911621,15.259332656860352,14.333333015441895,14.385333061218262,74413500,64.62244043698387,14.202056575048145,13.319189194902345,0.6376516839890345,0.7773805787462607,0.12413948756600224,0.6532410911802584
2016-03-28,15.350666999816895,15.654000282287598,15.0,15.440667152404785,58885500,65.90980542153888,14.311448044073739,13.398854991173504,0.6388194410103605,0.7689725971258259,0.09258520475645393,0.676387392369372
2016-03-29,15.342000007629395,15.491999626159668,15.022000312805176,15.326000213623047,60214500,65.77629561724787,14.409595850126658,13.475056756524715,0.6267608604635128,0.7529305426660748,0.06123452023736231,0.6916960224287125
2016-03-30,15.12600040435791,15.699999809265137,15.100000381469727,15.672666549682617,60495000,62.38465269193493,14.477824855291539,13.539799644675037,0.6248493295586482,0.7145508388521211,0.018283853138726824,0.6962669857133943
2016-03-31,15.317999839782715,15.82800006866455,15.000666618347168,15.28933334350586,120193500,64.15400001638992,14.557841520481174,13.609532985659651,0.639312481041415,0.6916544351132305,-0.003690040480130996,0.6953444755933615
2016-04-01,15.839332580566406,16.52666664123535,15.550000190734863,16.32200050354004,239962500,68.48830541042649,14.67988828810834,13.696976107028544,0.6799806467850738,0.7074213524160644,0.009661501458162247,0.6977598509579022
2016-04-04,16.465999603271484,16.808000564575195,16.242666244506836,16.607999801635742,202129500,72.75313661014361,14.849994127647687,13.805565263743954,0.700601170872482,0.7617031002347456,0.05115459942147471,0.7105485008132709
2016-04-05,17.031333923339844,17.104000091552734,16.0,16.03333282470703,149230500,75.91942284598221,15.057740774856464,13.932065995492813,0.7294153794925,0.8406490524031582,0.10408044127190974,0.7365686111312485
2016-04-06,17.69466781616211,17.849332809448242,16.89666748046875,16.931333541870117,175582500,79.00267565407519,15.308876683552239,14.07961900806808,0.7453618044558566,0.9458367721630587,0.16741452882544816,0.7784222433376106
2016-04-07,17.14666748046875,17.95599937438965,16.96733283996582,17.76333236694336,132843000,70.92352216422914,15.48390437849667,14.19989541875046,0.7627407137392832,0.9737549101855816,0.1562661334783768,0.8174887767072048
2016-04-08,16.67133331298828,17.38800048828125,16.534666061401367,17.366666793823242,110458500,64.7391717477269,15.59699284844825,14.296814551857826,0.769211693249326,0.9466127780659175,0.10329920108697022,0.8433135769789473
2016-04-11,16.661333084106445,17.266000747680664,16.35333251953125,16.733333587646484,137425500,64.61152511072676,15.698358585177603,14.389540768808754,0.7794585885993324,0.9137622257757112,0.05635891903741108,0.8574033067383001
2016-04-12,16.521333694458008,16.786666870117188,16.242000579833984,16.633333206176758,86448000,62.7463000331783,15.776737167013831,14.473140491383234,0.7626877101481804,0.8664433263652693,0.007232015701575278,0.859211310663694
2016-04-13,16.968666076660156,17.03333282470703,16.488666534423828,16.567333221435547,73884000,66.11256875395333,15.890254206027768,14.571004239825466,0.7471147515863964,0.8551807510328686,-0.0032244477046603492,0.858405198737529
2016-04-14,16.790666580200195,17.12266731262207,16.73666763305664,16.866666793823242,61983000,63.64802014959825,15.976007765472762,14.658049821800947,0.7213208178706131,0.8224117563849482,-0.02879475388206465,0.8512065102670129
2016-04-15,16.96733283996582,16.97333335876465,16.607999801635742,16.753999710083008,56286000,65.04096004595775,16.07041967732924,14.748609940160355,0.6958931563890627,0.801458863848536,-0.03979811713478154,0.8412569809833176
2016-04-18,16.92533302307129,17.220666885375977,16.777332305908203,16.815332412719727,64071000,64.40908687387164,16.15183999597134,14.833971629686275,0.677853258037542,0.7725589328629123,-0.0549584384963242,0.8275173713592365
2016-04-19,16.4913330078125,16.95800018310547,16.083332061767578,16.874666213989258,95362500,58.12512025915385,16.184172663765736,14.898966193534363,0.6919114625589955,0.7064913625502491,-0.09682080704718987,0.803312169597439
2016-04-20,16.6646671295166,16.910667419433594,16.100000381469727,16.417333602905273,77911500,59.811545280485056,16.229934041456296,14.96820936749445,0.7003940036593436,0.6605050609021923,-0.11424568695619741,0.7747507478583897
2016-04-21,16.55266761779785,16.726667404174805,16.46066665649414,16.599332809448242,41746500,58.18107840694643,16.260670572536444,15.030344985153409,0.6693659139465807,0.6080143500048969,-0.13338911828279432,0.7414034682876912
2016-04-22,16.916667938232422,16.933332443237305,16.380666732788086,16.592666625976562,56794500,61.82352430819201,16.323146512126538,15.104318434293763,0.6610301851253406,0.5889972732966129,-0.12192495599286268,0.7109222292894756
2016-04-25,16.788000106811523,17.158666610717773,16.71733283996582,16.867332458496094,55054500,59.8394374441958,16.367418283048917,15.170345166549362,0.64533758409867,0.5571215340722588,-0.12304055617377341,0.6801620902460322
2016-04-26,16.916000366210938,17.048667907714844,16.625999450683594,16.803333282470703,48357000,61.17434522180364,16.419664195731013,15.238802233202758,0.6294326464509972,0.536009547861994,-0.11532203390723073,0.6513315817692247
2016-04-27,16.764667510986328,17.0,16.626667022705078,16.850000381469727,48087000,58.69049004045353,16.452521654326755,15.298640087233487,0.611139812939849,0.5012883104102528,-0.12003461708717755,0.6213229274974303
2016-04-28,16.513999938964844,16.89533233642578,16.496000289916992,16.656667709350586,37785000,54.72674108588617,16.458376729054194,15.346301257889618,0.5960106867662018,0.4483761008448077,-0.13835746132209814,0.5867335621669059
2016-04-29,16.05066680908203,16.562000274658203,15.854000091552734,16.542667388916016,81207000,48.24132932036114,16.41954721286637,15.373923436367752,0.6040099365047209,0.3648499194471029,-0.1775069141758424,0.5423568336229453
2016-05-02,16.1200008392334,16.21266746520996,15.654666900634766,16.100000381469727,57658500,49.21126544269906,16.391018986806085,15.403181373735034,0.6007235527954691,0.3007822649800964,-0.19325965491427916,0.49404191989437557
2016-05-03,15.48799991607666,15.927332878112793,15.441332817077637,15.824000358581543,64533000,41.565083497099415,16.30501717054614,15.406507591081766,0.6062910148926329,0.19674306302358247,-0.23783908549663452,0.434582148520217
2016-05-04,14.837332725524902,15.630666732788086,14.69333267211914,15.352666854858398,130507500,35.45696404985504,16.165237699591735,15.384187008118753,0.6299369467337982,0.06108370654043327,-0.29879875358382696,0.35988246012426023
2016-05-05,14.10200023651123,15.242667198181152,13.986000061035156,15.230667114257812,168822000,30.077593307222728,15.968738893584069,15.333905173938065,0.674703388906098,-0.10455722665446743,-0.37155174942298214,0.2669945227685147
2016-05-06,14.328666687011719,14.424667358398438,13.87399959564209,14.057999610900879,85278000,33.43029368226508,15.812541540577179,15.294484056803698,0.6658437013239731,-0.2150596970475327,-0.3856433758528379,0.17058367880530523
2016-05-09,13.928000450134277,14.40999984741211,13.786666870117188,14.381333351135254,71646000,30.63412102039098,15.633061436725473,15.24089646438529,0.6628072210361837,-0.3311468628665377,-0.40138443333747437,0.07023757047093665
2016-05-10,13.912667274475098,13.964667320251465,13.666666984558105,13.83666706085205,61059000,30.528883945366925,15.469214373654008,15.188809045173125,0.6367495863688392,-0.41954775194693106,-0.39182825793429416,-0.027719494012636896
2016-05-11,13.93066692352295,14.36533260345459,13.736666679382324,13.839332580566406,77428500,30.829285527990713,15.322686045070098,15.139470138441744,0.636172181919084,-0.4825906673770728,-0.3638969386915487,-0.11869372868552408
2016-05-12,13.8186674118042,14.111332893371582,13.577333450317383,14.095999717712402,54757500,29.961138995229017,15.17944617523525,15.08767395308341,0.6288741291430208,-0.5354180901745238,-0.33337948919119975,-0.20203860098332405
2016-05-13,13.840666770935059,14.079999923706055,13.779999732971191,13.85200023651123,42342000,30.375871363314648,15.05194337482571,15.03877171064622,0.6053831335424381,-0.5689505313509855,-0.29352954429412914,-0.27542098705685636
2016-05-16,13.88599967956543,14.210000038146973,13.861332893371582,13.876667022705078,44241000,31.27891164761666,14.940901118134255,14.993564964329327,0.5885224288045435,-0.5851223198309636,-0.24776106621928584,-0.3373612536116778
2016-05-17,13.644000053405762,13.98799991607666,13.601332664489746,13.936667442321777,42654000,29.108449492611637,14.817386731017256,14.940640850175463,0.5741042018604272,-0.6104292773384881,-0.21845441898144818,-0.3919748583570399
2016-05-18,14.07800006866455,14.354000091552734,13.850000381469727,13.94333267211914,84262500,37.48634958842949,14.746968953650331,14.906811799920133,0.5838110473094662,-0.5886791228597676,-0.1573634116021822,-0.43131571125758544
2016-05-19,14.347332954406738,14.452667236328125,13.819999694824219,14.2413330078125,102994500,42.06234849621529,14.7089083822938,14.884871453037256,0.5873007968947834,-0.5434445650994597,-0.08970308307349939,-0.4537414820259603
2016-05-20,14.685333251953125,14.703332901000977,14.423333168029785,14.465999603271484,135106500,47.27807371799373,14.706663131785165,14.877046425543762,0.5707793075876016,-0.4748482973621897,-0.01688545226898347,-0.45796284509320623
2016-05-23,14.414667129516602,14.84000015258789,14.390666961669922,14.657999992370605,76537500,43.872082176864836,14.67885398871197,14.858913904130933,0.5621045849683421,-0.43728500565570627,0.016542271549999987,-0.45382727720570626
2016-05-24,14.52733325958252,14.582667350769043,14.345333099365234,14.4399995803833,45207000,45.62799636501167,14.664423443080594,14.845910741599623,0.5389067039994468,-0.39388415983305514,0.0479544938981209,-0.44183865373117603
2016-05-25,14.638667106628418,14.757332801818848,14.434000015258789,14.52733325958252,46902000,47.37983884257161,14.661970458656578,14.837783540228203,0.5235085670394906,-0.34651060724659466,0.07626243718766512,-0.4227730444342598
