Date,close,high,low,open,volume,rsi,ema_20,ema_50,atr,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2016-03-15,2.490000009536743,2.690000057220459,2.450000047683716,2.6700000762939453,21573600,58.64271188542194,2.2875544953851987,2.157999994754791,0.16348600614325987,0.1151375651809472,0.04613797708825318,0.06899958809269402
2016-03-16,2.630000114440918,2.640000104904175,2.490000009536743,2.5,13015700,62.61811057369161,2.320168363866696,2.1765098033699335,0.16252272680212929,0.12723255150008628,0.0465863707259138,0.08064618077417247
2016-03-17,2.799999952316284,2.809999942779541,2.700000047683716,2.7699999809265137,29000800,66.79230093470451,2.3658666103857042,2.200960397446261,0.16377109119759314,0.1488199774039991,0.05453903730386131,0.0942809401001378
2016-03-18,2.930000066757202,2.930000066757202,2.7699999809265137,2.799999952316284,26330500,69.58885774317311,2.4195936062306087,2.229550188399631,0.16350173367138565,0.1744076281684026,0.06410135045461185,0.11030627771379076
2016-03-21,2.799999952316284,2.9000000953674316,2.75,2.9000000953674316,13464900,63.80247605455091,2.4558227820482923,2.251920767376755,0.16468018603465825,0.18209700208062918,0.05743257949347072,0.12466442258715846
2016-03-22,2.7899999618530273,2.8499999046325684,2.7100000381469727,2.7300000190734863,10315800,63.36599623247246,2.487649180124934,2.2730219122581774,0.16291730606686808,0.18524854078310415,0.04846729455675655,0.1367812462263476
2016-03-23,2.680000066757202,2.8299999237060547,2.680000066757202,2.799999952316284,10167100,58.6157276293266,2.50596831218515,2.28898183988559,0.16199463112986695,0.17683168014881634,0.03204034713797499,0.14479133301084135
2016-03-24,2.7899999618530273,2.809999942779541,2.619999885559082,2.690000057220459,10040200,61.70718905066257,2.5330189454868526,2.3086296093745093,0.1639950187077664,0.17699701823331448,0.02576454817797852,0.15123247005533597
2016-03-28,2.7799999713897705,2.8399999141693115,2.7300000190734863,2.809999942779541,7683700,61.25917498478025,2.5565409479537973,2.327114721610402,0.16013822416405632,0.174311776544803,0.018463445191573613,0.1558483313532294
2016-03-29,2.859999895095825,2.880000114440918,2.700000047683716,2.740000009536743,13616200,63.53977884400772,2.585441800062562,2.348012179394144,0.16155692720642387,0.17660325601275062,0.01660393972761698,0.15999931628513364
